type,name,year,asset_id,title,artist
life_of_rights,"Ryan Ellis, Chris McClarney, The Belonging Co + More Songwriter Royalties",,5677,41.0,
life_of_rights,Quando Rondo - Producer Royalties,,5757,17.0,
life_of_rights,NoMBe - Sound Recording Royalties,,5714,11.0,
30_year,Jenna Davis + More Songwriter Royalties,,5697,19.0,
life_of_rights,"One Ok Rock, Lower Than Atlantis + More Rock Royalties",,5758,75.0,
life_of_rights,Jonathan Thulin - Sound Recording Royalties,,5739,44.0,
life_of_rights,"Rod Wave, Mozzy, Chris Brown + more - Songwriter Royalties",,5691,33.0,
partial_30_year,"Tisoki, Aitana, Cami + More - Songwriting Royalties",,5623,101.0,
life_of_rights,Kay Flock’s “Opp Spotter” + More Publishing Royalties ,,5749,20.0,
life_of_rights,"R&B Songwriter Royalties: Case, Mary J. Blige, & Foxy Brown",,4325,58.0,
life_of_rights,Youngboy Never Broke Again - Producer Royalties,,5667,9.0,
30_year,Kay Flock’s “Opp Spotter” + More Songwriter Royalties ,,5751,185.0,
life_of_rights,Independent Electro-Pop from Simon Curtis - Publishing Royalties,,5737,78.0,
life_of_rights,Press Play - Sound Recording Royalties,,5740,54.0,
life_of_rights,Producer Royalties from Justin Bieber Recordings,,5678,67.0,
life_of_rights,"Urban Rescue, Jesus Culture, Chris McClarney + More - Publishing Royalties",,5671,160.0,
partial_10_year,Publishing Royalties by French Pop Artist Nej,,5408,4.0,
life_of_rights,"Chris Brown, Meek Mill, Tink + More Publishing Royalties",,5709,103.0,
partial_10_year,Songwriter Royalties From Popular Angel Taylor Tracks,,2783,13.0,
life_of_rights,Publishing Royalties from Rod Wave and JayDaYoungan,,5715,20.0,
life_of_rights,Blues & Rock Catalog: Joe Bonamassa and More,,3828,7.0,
life_of_rights,Songs by Future - Producer Royalties,,5682,13.0,
30_year,"G.R.L., AJ Styles' Theme and More Songwriting Royalties",,5698,85.0,
life_of_rights,"""Sh-Boom (Life Could Be A Dream)"" - Sound Recording Royalties",,5606,35.0,
life_of_rights,Shrek Film Score Music Royalties,,5724,512.0,
life_of_rights,"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",,5696,4.0,
partial_10_year,"Music for Television Including ""Black Lady Sketch Show"" and ""Real Housewives""",,4922,39.0,
30_year,"Bow Wow, YFN Lucci, Young Dylan + More - Songwriter Royalties",,5543,9.0,
30_year,"Beyonce, Logic, Nas + More - Songwriting Royalties",,5707,80.0,
life_of_rights,"Faithless, Dido, Santana + More - Songwriting Royalties",,5704,37.0,
life_of_rights,"Production Music from ""Love Don't Cost A Thing"", ""The Game"", + more",,4447,54.0,
partial_10_year,Pop & Hip-Hop With International Influence,,4807,12.0,
life_of_rights,Rock Royalties from Cage The Elephant,,5706,48.0,
life_of_rights,Jake & Logan Paul - Publishing Royalties,,5681,17.0,
30_year,"Wanmore, Danity Kane + More Hip-Hop & Pop Songwriting Royalties",,4353,16.0,
partial_30_year,"Usher's ""Bad Girl"" - Songwriter Royalties",,5137,3.0,
life_of_rights,"Rihanna, Kanye West + More Publishing Royalties",,5694,13.0,
life_of_rights,"DaBaby, Jeremih, Justin Beiber and More Pop and R&B Hits",,5683,13.0,
partial_10_year,Grammy-Awarded Artist Chris Brown,,3858,5.0,
life_of_rights,"3LAU, Duke & Jones + More - Songwriting Royalties",,5688,57.0,
life_of_rights,"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",,5273,4.0,
partial_30_year,"Rihanna, Future, Luh Kel + More - Songwriter Royalties",,5411,9.0,
partial_30_year,Durag Activity by Baby Keem feat. Travis Scott - Songwriter Royalties,,5198,2.0,
30_year,DJ Khaled’s “GREECE” (ft. Drake) + More Songwriter Royalties,,5640,39.0,
life_of_rights,Songs by Ali Gatie - Publishing Royalties,,5645,4.0,
life_of_rights,"Lil Tjay, Boss Top, Hunxho, + More - Publisher Royalties",,5364,85.0,
life_of_rights,Top K-Pop Artists - Performance Royalties,,5469,34.0,
life_of_rights,DJ Unk’s “Walk It Out” + More Songwriter Royalties,,5668,55.0,
life_of_rights,Songs by NBA Youngboy & Quando Rondo - Songwriter Royalties,,5669,3.0,
partial_10_year,International Pop & Hip-Hop Catalog,,4902,30.0,
life_of_rights,Publishing Royalties: Head & The Heart Indie-Folk + More,,5118,17.0,
life_of_rights,My Chemical Romance - International Publishing Royalties,,5233,26.0,
life_of_rights,"Skan & Krale, Brevis, Drama B + More - Songwriting Royalties",,5624,66.0,
life_of_rights,"Steve Aoki, Chocolate Puma + More Songwriter Royalties",,5658,41.0,
life_of_rights,Mary J. Blige’s “Family Affair” + More Publishing Royalties,,5664,8.0,
life_of_rights,"Beyonce, King Combs, Big Freedia - Songwriter Royalties",,5348,72.0,
life_of_rights,Cage The Elephant Publishing Royalties,,5644,46.0,
life_of_rights,Sonic The Hedgehog Theme ft. Wiz khalifa + More,,5421,6.0,
life_of_rights,"Yo Gotti, Young Jeezy, Gucci Mane, Lil Wayne + More Publishing Royalties",,5648,62.0,
life_of_rights,Earl’s “Tongue Tied” - Publishing Royalties,,5665,13.0,
life_of_rights,Songs from NoCap - Sound Recording Royalties,,5663,23.0,
30_year,"Songwriter Royalties - Sesame Street's ""Abby's Flying Fairy School""",,4213,65.0,
30_year,"Daphne Willis, Feelrs + More - Songwriting Royalties",,5638,56.0,
life_of_rights,YFN Lucci + More - Songwriting Royalties,,5656,10.0,
30_year,"Masego, Village Spillage, + More - Performance Royalties",,5631,18.0,
life_of_rights,"""Take You Away"" - Publishing Royalties",,5647,4.0,
partial_10_year,"Hit K-Pop, R&B, and Pop Royalties",,5476,26.0,
life_of_rights,"Andy Mineo, Wordsplayed + More Publishing Royalties",,5628,32.0,
life_of_rights,"Andy Mineo, Wordsplayed + More Songwriter Royalties",,5627,33.0,
life_of_rights,Thievery Corporation - Songwriter Royalties,,5630,19.0,
life_of_rights,Drakeo The Ruler + More - Publishing Royalties,,5632,25.0,
partial_10_year,Anderson .Paak's Grammy-Winning “Bubblin”,,5264,5.0,
life_of_rights,"Fin Argus, TYSM, Blackbear + More Pop Publishing Royalties",,5339,97.0,
life_of_rights,"""Sh-Boom (Life Could Be A Dream)"" - Songwriter Royalties",,5599,109.0,
life_of_rights,"Chris Brown, French Montana + More Songwriter Royalties",,5582,87.0,
life_of_rights,Producer Royalties from Hip-Hop Artist NF,,5178,14.0,
life_of_rights,"Publishing: NBA YoungBoy's ""Carter Son""",,4594,2.0,
life_of_rights,Shrek - Music From The Award-Winning Film Franchise,,5291,785.0,
life_of_rights,Pop Music Placed in TV/Film: Naomi August,,4523,24.0,
partial_30_year,Choices (Yup) & more E-40 classic tracks - Songwriter Royalties,,4766,7.0,
life_of_rights,Royalties From New Kids On The Block + Akon,,3816,3.0,
life_of_rights,"Hip-Hop Publishing feat. NoCap, Quando Rondo and More",,5004,11.0,
life_of_rights,"2Pac, Kreepa & Capone - Publisher Royalties",,5452,38.0,
life_of_rights,Royalty Share from Jimi Hendrix’s “Band of Gypsys”,,5604,9.0,
partial_10_year,Streaming-Driven Latin Hip-Hop,,3479,3.0,
30_year,"Bryson Tiller, Kid Cudi + More Songwriter Royalties",,5535,17.0,
partial_10_year,EDM and Electropop Songwriter Royalties,,5409,80.0,
30_year,"Tisoki, Aitana, Cami + More - Songwriting Royalties",,5583,101.0,
life_of_rights,"Bryson Tiller, Kid Cudi + More Publishing Royalties",,5533,8.0,
10_year,Marcus Anderson - Sound Recording Royalties,,5586,185.0,
life_of_rights,"Logic, Chrisette Michele, Ramsey Lewis + More - Publishing Royalties",,5461,115.0,
life_of_rights,"Migos, Kevin Gates + More Publishing Royalties",,5065,32.0,
life_of_rights,Robbie Rivera House Music Songwriting Royalties,,5311,117.0,
life_of_rights,Davie - Publishing Rights,,5511,25.0,
life_of_rights,MercyMe + More Publishing Royalties,,5570,90.0,
life_of_rights,How to Draw Cool Stuff - Book Royalties,,5569,3.0,
life_of_rights,"Wolfgang Gartner, deadmau5, Skrillex + More - Publishing Royalties",,5530,44.0,
life_of_rights,"Hip-Hop Publishing: Trippie Redd, PnB Rock & More",,3901,193.0,
life_of_rights,"One Ok Rock, Lower Than Atlantis + More Rock Royalties",,5562,75.0,
10_year,"Lost Frequencies, Tom Walker + More - Publishing Royalties",,5561,86.0,
life_of_rights,"Publishing - ""Shooters Inside My Crib"" by Quavo + More",,5259,7.0,
partial_30_year,"Alexis Spight, Usher, Boyz II Men + More Songwriter Royalties",,5459,71.0,
life_of_rights,"NBA YoungBoy, Rod Wave + More - Songwriter Royalties",,5577,34.0,
30_year,"Mary J. Blige, Jaheim, Diana Ross + More Songwriter Royalties",,5438,14.0,
partial_30_year,Hip-Hop Artist TVBUU - Songwriter Royalties,,5457,280.0,
life_of_rights,Youngboy Never Broke Again - Producer Royalties,,5576,5.0,
life_of_rights,"Classic Soul and R&B Sampled by Kanye, 50 Cent, and More",,4963,32.0,
30_year,"Lil Wayne's ""Mr. Carter"" + More Songwriter Royalties",,5559,16.0,
life_of_rights,Music Featured in Reality TV Franchises,,4768,2293.0,
life_of_rights,Electronic/Dance Royalties from RUNAGROUND,,5546,3.0,
life_of_rights,"""300 Violin Orchestra"" by Jorge Quintero - Songwriting Royalties",,5549,2.0,
life_of_rights,Music From Quentin Tarantino’s “Pulp Fiction”,,5197,2.0,
life_of_rights,"Token, Chris Webby + More - Songwriter Royalties",,5544,128.0,
30_year,Dishwalla - Songwriter Royalties,,5545,63.0,
life_of_rights,"New Hope Club, Lewis Capaldi, The Chainsmokers + More - Publishing Royalties",,5510,16.0,
life_of_rights,"DaBaby's ""Goin Baby"" + Rema's ""Are You There?"" - Songwriter Royalties",,5540,2.0,
partial_10_year,R&B & Pop Catalog: Featuring Trey Songz,,4004,16.0,
partial_10_year,Streaming Hip-Hop Catalog,,2991,13.0,
partial_10_year,"Southern Hip-Hop: Huey's ""Pop, Lock & Drop It""",,4429,77.0,
life_of_rights,"Dababy's ""Goin Baby"" + More - Publisher Royalties",,5516,2.0,
life_of_rights,Electronic/Dance Royalties from RUNAGROUND,,4967,3.0,
life_of_rights,"City Girls' ""Twerk"" ft. Cardi B + More Songwriter Royalties",,5529,18.0,
life_of_rights,"Swedish Hip-Hop from 2.Clock, Z.E & More",,5381,16.0,
life_of_rights,"German Pop, Rap, Techno - Sound Recording Royalties",,5524,289.0,
life_of_rights,"$UICIDEBOY$, Three 6 Mafia, MC Mack + More - Songwriting Royalties",,5482,209.0,
life_of_rights,"James Blunt, Little Mix + More Pop Songwriting Royalties",,5297,49.0,
30_year,"Logic, Chrisette Michelle, K-Pop + More - Songwriter Royalties",,5460,274.0,
partial_30_year,Rob Curly Songwriter Royalties,,5127,49.0,
30_year,"Davie's ""Testify"" - Songwriter Royalties",,5502,2.0,
life_of_rights,Publishing Royalties: Alt-Rock Band Yellowcard,,5503,70.0,
10_year,Songwriter Royalties Featuring Macklemore,,4298,58.0,
life_of_rights,"Wolfgang Gartner, deadmau5, Skrillex + More - Songwriter Royalties",,5488,232.0,
partial_10_year,10-Year-Old Consistent Rock from Evans Blue,,4555,29.0,
life_of_rights,"Demi Lovato, Ella Mai, Camila Cabello + More - Publishing Royalties",,5480,27.0,
life_of_rights,"Beastie Boys, Parliament Funkadelic + More - Songwriter Royalties",,5444,32.0,
partial_10_year,International Pop and Hip-Hop,,5204,25.0,
life_of_rights,"Drake, Megan Thee Stallion, Beyonce + More - Publishing Rights",,5464,36.0,
life_of_rights,"$UICIDEBOY$, Three 6 Mafia, MC Mack + More - Performance Royalties",,5478,181.0,
partial_30_year,"Pop Songs from G.R.L., WWE Placements + More - Songwriter Royalties",,5104,38.0,
partial_10_year,Royalties from Rick Ross and more,,4605,16.0,
partial_30_year,Tracks from Sanctus Real - Songwriter Royalties,,4088,4.0,
life_of_rights,"""Sad Hours"" by LRN Slime - Sound Recording Royalties",,5492,2.0,
life_of_rights,"Tim McGraw & Tyler Hubbard's ""Undivided"" + More",,5467,8.0,
life_of_rights,"Amy Winehouse's ""He Can Only Hold Her"" + More - Songwriter Royalties",,5399,15.0,
10_year,"""Marz"" + ""Shoot Out"" by DeeBaby - Songwriter Royalties",,5466,2.0,
life_of_rights,Saint Raymond - Publishing Royalties,,5440,64.0,
life_of_rights,"Theme From ""Love & Hip-Hop Atlanta"" + More Publishing Royalties",,5424,375.0,
life_of_rights,"Justin Bieber, Bishop Briggs, EXO + More - Songwriter Royalties",,5458,10.0,
life_of_rights,Cues From The Rachael Ray Show + More,,4860,88.0,
life_of_rights,"David Guetta's ""Say My Name"" + More Pop Hits",,5258,25.0,
life_of_rights,"Rod Wave, JayDaYoungan, + More - Songwriter Royalties",,4422,9.0,
partial_10_year,"Hit K-Pop, R&B, and Pop Royalties",,3346,26.0,
partial_30_year,"Blackbear, Jacob Sartorius + More - Songwriter Royalties",,5237,110.0,
life_of_rights,"G-Eazy's ""Down"" - Publishing Royalties",,4556,2.0,
partial_10_year,Consistent Smooth Jazz Royalties,,5370,52.0,
partial_30_year,Lecrae Hits & More Assorted Hip-Hop,,4833,51.0,
10_year,"Latin Songwriter Royalties - Elvis Crespo, Héctor Acosta, + More",,4499,148.0,
partial_30_year,"Dem Franchize Boyz ""Lean Wit It Rock Wit It"" + More",,5011,17.0,
30_year,"Ginuwine, Marques Houston, Lupe Fiasco + More - Songwriter Royalties",,5433,22.0,
life_of_rights,"Mary J. Blige, Jaheim, Diana Ross + More Publisher Royalties",,5432,25.0,
life_of_rights,Streaming-Heavy Hip-Hop from YFN Lucci & Gucci Mane,,5175,12.0,
30_year,Hip-Hop Artist TVBUU - Songwriter Royalties,,5442,280.0,
30_year,Tyrese Gibson - Songwriter Royalties,,5425,9.0,
30_year,"Alexis Spight, Usher, Boyz II Men + More Songwriter Royalties",,5437,71.0,
life_of_rights,"Amy Winehouse, Dido + More - Publishing Royalties",,5402,16.0,
life_of_rights,"Trey Songz, Nicki Minaj, Drake, Justin Bieber + More",,5217,54.0,
life_of_rights,"""Booty Me Down"" & More KStylis Hits - Publisher Royalties",,5213,33.0,
life_of_rights,"Rihanna's ""Don't Stop the Music"", Enrique Iglesias + More - Publishing Royalties",,5226,80.0,
30_year,Nelly & St. Lunatics - Songwriting Royalties,,5219,6.0,
partial_10_year,Do Or Die - Songwriter Royalties,,4652,7.0,
life_of_rights,"B Young, GS, Phora, Toosii + More Publishing",,5161,14.0,
life_of_rights,Publishing From Soulja Boy & Beyoncé,,4230,58.0,
30_year,"Songs from ""Norbit"" Soundtrack",,4157,50.0,
life_of_rights,Publishing Royalties: Luh Soldier & More,,4245,31.0,
30_year,"Blackbear, Jacob Sartorius + More - Songwriter Royalties",,5212,110.0,
partial_10_year,Hip-Hop Songwriter Royalties - Peewee Longway,,5201,15.0,
30_year,“Party Like A Rockstar” -  Songwriter Royalties,,5203,3.0,
life_of_rights,"Travis Scott, 50 Cent, ILOVEMAKONNEN ft. Drake - Songwriter Royalties",,4584,67.0,
life_of_rights,Nelly’s Iconic Hit “Ride Wit Me”,,5200,3.0,
life_of_rights,"Quavo, Dave East & Youngs Teflon Songwriter Royalties",,5208,3.0,
partial_10_year,Cues from The Carbonaro Effect,,4898,5.0,
life_of_rights,"Publishing - ""Shooters Inside My Crib"" by Quavo + More",,5199,7.0,
life_of_rights,"""Blood All On It"" by Gucci Mane and More - Songwriter Royalties",,5189,4.0,
10_year,Hip-Hop Songwriter Royalties - Peewee Longway,,5185,15.0,
life_of_rights,"Publishing Royalties featuring Jack Fowler, Nathan Dawe & More",,5172,19.0,
partial_10_year,International Pop and Hip-Hop,,2817,25.0,
partial_10_year,"Hip-Hop Publishing ""I Just Wanna"" by Lucas Coly and More",,4888,5.0,
partial_30_year,"Kash Doll - ""Single & Happy"" Songwriter Royalties",,5155,6.0,
life_of_rights,Music From Quentin Tarantino’s “Pulp Fiction”,,4147,2.0,
life_of_rights,90’s R&B Featured in Sitcom “Friends”,,3746,13.0,
life_of_rights,"Songwriter Royalties Ft. Dave East, Millyz, & Dej Loaf",,5038,16.0,
life_of_rights,"""Wasn't Expecting That"" by Jamie Lawson - Producer Royalties",,4941,12.0,
life_of_rights,Streaming-Driven Hip-Hop/Pop Featuring Beyoncé,,3688,106.0,
life_of_rights,"Iconic 90s Hit ""I Got 5 On It"" and More - Songwriter Royalties",,5166,3.0,
life_of_rights,Bobby Shmurda - Producer Label Royalties,,5135,2.0,
partial_10_year,Lil Uzi Vert + More Hip-Hop Publishing Royalties,,3896,7.0,
partial_10_year,Independent Hip-Hop Publishing Royalties From Euroz,,4932,87.0,
life_of_rights,Performance Royalties: Taylor Acorn,,4056,8.0,
life_of_rights,Pop from Kristinia DeBarge and More,,4741,30.0,
life_of_rights,TV Placements Created by Xzibit & 21 The Producer,,5124,97.0,
life_of_rights,"Eric Paslay, Marc Broussard & Kate Voegele Album Royalties",,5114,40.0,
life_of_rights,Songwriter Royalties: Luh Soldier & More,,4392,50.0,
life_of_rights,Hip-Hop Publishing: A$AP Ferg & More,,4323,6.0,
life_of_rights,Streaming-Heavy Hip-Hop from YFN Lucci & Gucci Mane,,5122,12.0,
life_of_rights,Pop From Backstreet Boys & More,,4099,103.0,
life_of_rights,Soul - Jazz Songwriter Royalties,,5164,107.0,
life_of_rights,Keeping Up With The Kardashians & More TV Music,,5119,410.0,
30_year,Durag Activity by Baby Keem feat. Travis Scott - Songwriter Royalties,,5102,2.0,
life_of_rights,Publishing: Established Christian Hip-Hop,,4686,4.0,
life_of_rights,"Stan Walker's ""Bigger"" & Jasmine Sokko's ""Magnet""",,5157,2.0,
life_of_rights,"Mozzy, Chito Rana$, & More Lyrical Hip-Hop",,5126,47.0,
life_of_rights,Hip-Hop Producer Royalties Featuring Ali Gatie,,4798,10.0,
life_of_rights,"Building 429's ""Where I Belong"" + More",,5080,99.0,
partial_10_year,"Busta Rhymes, Juvenile, Slim Thug, and More",,4012,28.0,
life_of_rights,Simple Minds - Iconic Rock Band's Songwriting Royalties,,5131,107.0,
life_of_rights,Simple Minds -  Iconic Rock Band's Sound Recording Royalties,,5140,124.0,
life_of_rights,Harry Styles Debut Album - Domestic (U.S.) Royalties Only,,4393,11.0,
life_of_rights,Indie Trap Producer NOIXES,,5086,25.0,
life_of_rights,"R&B Classics from Virtue, Destiny's Child, Angie Stone + More",,5076,45.0,
life_of_rights,Simple Minds - Iconic Rock Band Publishing Royalties,,5132,48.0,
partial_10_year,"Catalog Featuring Pop, Country, Christian & Rock",,3655,110.0,
life_of_rights,Pop Hits from Zayn,,5100,13.0,
life_of_rights,Contemporary Christian Hits,,5054,7.0,
life_of_rights,"The Commodores - ""Brick House"" + More - Publishing Royalties",,5107,36.0,
partial_30_year,"Usher's ""Bad Girl"" - Songwriter Royalties",,5073,3.0,
30_year,"Tory Lanez, Playboi Carti, Kelly Rowland and More Hip-Hop and R&B",,5128,17.0,
life_of_rights,Tupac and Big Pun - Songwriter Royalties,,5106,69.0,
life_of_rights,"""Where I Belong"" + More from Building 429",,5103,54.0,
life_of_rights,"James Blunt, Little Mix + More Pop Songwriting Royalties",,5091,49.0,
30_year,"Hip-hop and R&B featuring Lil Wayne, Monica, and DMX",,5109,20.0,
30_year,"Kash Doll - ""Single & Happy"" Songwriter Royalties",,5112,6.0,
life_of_rights,"""Bags"" By Kevin Gates - Publishing Royalties",,5039,2.0,
life_of_rights,SZA's Debut Album - Ctrl - Producer Royalties,,5097,10.0,
life_of_rights,Publishing Royalties from Say Anything,,5095,50.0,
30_year,"Chris Brown, Migos, Bhad Bhabie & More",,5074,31.0,
life_of_rights,Hip-Hop Songwriting Royalties - Amir Obè,,4401,33.0,
life_of_rights,Frankie Ballard - Hit Country Producer Royalties,,5087,30.0,
30_year,Songwriter Royalties from Say Anything,,5088,49.0,
life_of_rights,"James Blunt, Little Mix + More Pop Songwriting Royalties",,5062,49.0,
life_of_rights,"""Nasty Freestyle"" - T-Wayne Artist Royalties",,4925,26.0,
